No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
196,1-Heptanol,8.397940009,111-70-6,CCCCCCCO,,,NIST,alkane,Aliphatic hydrocarbons
197,1-Heptanol,8.447158031,111-70-6,CC(C)(C)CO,,22.0,10.1016/j.watres.2017.03.015,alkane,Aliphatic hydrocarbons
198,1-Heptanol,7.342422681,111-70-6,CC(C)O,,,10.1021/acs.est.5b03078,alkane,Aliphatic hydrocarbons
199,1-Hexanol,8.204119983,111-27-3,CCCCCCO,,,NIST,alkane,Aliphatic hydrocarbons
200,"1-Methyl-2,4-dinitrobenzene",6.8195,121-14-2,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],,,https://doi.org/10.1016/j.jhazmat.2025.138046,alkane,Aliphatic hydrocarbons
201,"1-Methyl-2,4-dinitrobenzene",6.819543936,957758-21-3,Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,,,https://doi.org/10.1021/acs.est.1c04326,alkane,Aliphatic hydrocarbons
202,1-Methylguanosine,9.662757832,2140-65-0,CN1C(=O)C2=C(N=C1N)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,7,,NIST,diol,Polyfunctional / highly functionalized
203,1-Methylindole,9.3726,603-76-9,CN1C=CC2=CC=CC=C21,,,https://doi.org/10.1016/j.jhazmat.2025.138321,cyclo,Aromatic & PAHs
204,1-Methyllumichrome,9.84509804,18950-64-6,,,,NIST,halogeneted,Halogenated organics
205,1-Methylnaphthalene,9.4472,90-12-0,CC1=CC=CC2=CC=CC=C12,,,https://doi.org/10.1016/j.jhazmat.2025.137947,cyclo,Aromatic & PAHs
206,1-Methylnaphthalene,9.447158031,90-12-0,Cc1cccc2ccccc12,,,https://doi.org/10.1021/acs.est.1c04326,cyclo,Aromatic & PAHs
207,1-Methylnaphthalene,9.447158031,90-12-0,CC1=CC=CC2=CC=CC=C12,3.5,,NIST,cyclo,Aromatic & PAHs
208,1-Methylthymine,9.698970004,4160-72-9,CC1=CN(C(=O)NC1=O)C,,,NIST,cyclo,Aromatic & PAHs
209,1-Naphthaleneethanol,9.447158031, 773-99-9,C1=CC=C2C(=C1)C=CC=C2CCO,3.5,,NIST,cyclo,Aromatic & PAHs
210,1-Naphthylacetic acid,9.544068044, 86-87-3,C1=CC=C2C(=C1)C=CC=C2CC(=O)O,3.5,,NIST,cyclo,Aromatic & PAHs
211,1-Naphthylacetic acid,9.176091259, 86-87-3,C1=CC=C2C(=C1)C=CC=C2CC(=O)O,3.5,,NIST,cyclo,Aromatic & PAHs
212,1-Octanol,8.505149978,111-87-5,CCCCCCCCO,,,NIST,alkane,Aliphatic hydrocarbons
213,1-Pentanol,8.113943352,71-41-0,CCCCCO,,,NIST,alkane,Aliphatic hydrocarbons
